Plot_seq;Genotype;Seed_ID;Row;Column;Treatment;Rep;Category;Trial;Year;Row_Column
162_Trial1;G44;90;22;9;Treatment3;2;Category1;Trail1;2022;22_9
163_Trial1;G40;75;22;8;Treatment3;2;Category3;Trail1;2022;22_8
164_Trial1;G01;64;22;7;Treatment3;2;Category1;Trail1;2022;22_7
165_Trial1;G45;78;22;6;Treatment3;2;Category3;Trail1;2022;22_6
166_Trial1;G13;87;22;5;Treatment3;2;Category3;Trail1;2022;22_5
167_Trial1;G03;82;22;4;Treatment3;2;Category2;Trail1;2022;22_4
168_Trial1;G05;86;22;3;Treatment3;2;Category2;Trail1;2022;22_3
169_Trial1;G22;66;22;2;Treatment3;2;Category1;Trail1;2022;22_2
17_Trial1;G19;76;2;7;Treatment1;1;Category3;Trail1;2022;2_7
17_Trial2;G25;31;41;3;Treatment1;2;Fill;Trail2.1;2022;41_3
170_Trial1;G18;67;22;1;Treatment3;2;Category3;Trail1;2022;22_1
171_Trial1;G08;70;23;1;Treatment3;2;Category1;Trail1;2022;23_1
172_Trial1;G42;73;23;2;Treatment3;2;Category3;Trail1;2022;23_2
173_Trial1;G21;80;23;3;Treatment3;2;Category2;Trail1;2022;23_3
174_Trial1;G07;93;23;4;Treatment3;2;Category1;Trail1;2022;23_4
175_Trial1;G41;85;23;5;Treatment3;2;Category2;Trail1;2022;23_5
176_Trial1;G20;84;23;6;Treatment3;2;Category3;Trail1;2022;23_6
177_Trial1;G46;83;23;7;Treatment3;2;Category2;Trail1;2022;23_7
178_Trial1;G09;65;23;8;Treatment3;2;Category2;Trail1;2022;23_8
179_Trial1;G43;89;23;9;Treatment3;2;Category1;Trail1;2022;23_9
18_Trial1;G46;83;2;8;Treatment1;1;Category2;Trail1;2022;2_8
18_Trial2;G02;30;41;4;Treatment1;2;Fill;Trail2.1;2022;41_4
180_Trial1;G15;91;23;10;Treatment3;2;Category2;Trail1;2022;23_10
181_Trial1;G16;71;25;10;Treatment2;3;Category1;Trail1;2022;25_10
182_Trial1;G04;81;25;9;Treatment2;3;Category3;Trail1;2022;25_9
183_Trial1;G10;74;25;8;Treatment2;3;Category1;Trail1;2022;25_8
184_Trial1;G18;67;25;7;Treatment2;3;Category3;Trail1;2022;25_7
185_Trial1;G13;87;25;6;Treatment2;3;Category3;Trail1;2022;25_6
186_Trial1;G01;64;25;5;Treatment2;3;Category1;Trail1;2022;25_5
187_Trial1;G45;78;25;4;Treatment2;3;Category3;Trail1;2022;25_4
188_Trial1;G21;80;25;3;Treatment2;3;Category2;Trail1;2022;25_3
189_Trial1;G40;75;25;2;Treatment2;3;Category3;Trail1;2022;25_2
19_Trial1;G44;90;2;9;Treatment1;1;Category1;Trail1;2022;2_9
19_Trial2;G04;34;41;5;Treatment1;2;Fill;Trail2.1;2022;41_5
190_Trial1;G46;83;25;1;Treatment2;3;Category2;Trail1;2022;25_1
191_Trial1;G37;88;26;1;Treatment2;3;Category2;Trail1;2022;26_1
192_Trial1;G44;90;26;2;Treatment2;3;Category1;Trail1;2022;26_2
193_Trial1;G38;69;26;3;Treatment2;3;Category2;Trail1;2022;26_3
194_Trial1;G15;91;26;4;Treatment2;3;Category2;Trail1;2022;26_4
195_Trial1;G07;93;26;5;Treatment2;3;Category1;Trail1;2022;26_5
196_Trial1;G05;86;26;6;Treatment2;3;Category2;Trail1;2022;26_6
197_Trial1;G20;84;26;7;Treatment2;3;Category3;Trail1;2022;26_7
198_Trial1;G22;66;26;8;Treatment2;3;Category1;Trail1;2022;26_8
199_Trial1;G23;68;26;9;Treatment2;3;Category2;Trail1;2022;26_9
2_Trial1;G05;86;1;9;Treatment1;1;Category2;Trail1;2022;1_9
2_Trial2;G16;29;40;9;Treatment1;1;Fill;Trail2.1;2022;40_9
20_Trial1;G21;80;2;10;Treatment1;1;Category2;Trail1;2022;2_10
20_Trial2;G26;25;41;6;Treatment1;2;Fill;Trail2.1;2022;41_6
200_Trial1;G42;73;26;10;Treatment2;3;Category3;Trail1;2022;26_10
201_Trial1;G03;82;27;10;Treatment2;3;Category2;Trail1;2022;27_10
202_Trial1;G11;72;27;9;Treatment2;3;Category2;Trail1;2022;27_9
203_Trial1;G43;89;27;8;Treatment2;3;Category1;Trail1;2022;27_8
204_Trial1;G09;65;27;7;Treatment2;3;Category2;Trail1;2022;27_7
205_Trial1;G12;79;27;6;Treatment2;3;Category3;Trail1;2022;27_6
206_Trial1;G08;70;27;5;Treatment2;3;Category1;Trail1;2022;27_5
